dustrate,dustrad,site,spinrun,climatefiles,duration,dustsp,dustsp_2nd,dustrate_2nd,add_secondary,imix,singlerun_seasonality,include_psd_full,include_psd_bulk,poro_iter_field,poro_evol,cec_adsorption_on,climatedir,sa_rule1,sa_rule2,psdrain_log10_sd,psdrain_wt,use_psdrain_datfile,include_roughness_sa,aws_save,aws_bucket,newrun_id
100.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_3
100.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_6
100.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_10
100.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_15
100.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_20
100.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_30
100.0,40,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_40
100.0,50,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_50
100.0,60,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_60
100.0,70,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_70
100.0,80,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_80
100.0,100,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_100
100.0,125,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_125
100.0,150,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_150
100.0,175,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_175
100.0,200,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_200
100.0,250,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_250
100.0,300,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_100p0_psize_300
150.0,1,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_1
150.0,3,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_3
150.0,6,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_6
150.0,10,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_10
150.0,15,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_15
150.0,20,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_20
150.0,30,site_311a,site_311a_pr9_spintuneup4,site_311a,15,gbas,amnt,3.0,False,3,False,False,False,False,True,False,NA,False,True,0.2,1.0,False,True,move,s3://carbonplan-carbon-removal/SCEPTER/scepter_output_scratch/,lowFert_gbas_base_site_311a_app_150p0_psize_30
