SMEW data output,,accepted dims,,,,,,
MM_Ca,molar mass of Ca2+ (constant),g umol-1,,[],N,N,N,outdict
MM_Na,molar mass of Na+ (constant),g umol-1,,[],N,N,N,outdict
MM_K,molar mass of K+ (constant),g umol-1,,[],N,N,N,outdict
MM_Si,molar mass of Si (constant),g umol-1,,[],N,N,N,outdict
MM_C,molar mass of C (constant),g umol-1,,[],N,N,N,outdict
MM_Anions,molar mass of conservative anions (constant),g umol-1,,[],N,N,N,outdict
MM_Al,molar mass of Al (constant),g umol-1,,[],N,N,N,outdict
v_f_Ca,fraction of Ca in plant dry matter (constant) (current values taken from Kelland et al. 2020 for Sorghum),unitless,,[],N,N,N,outdict
v_f_Mg,fraction of Mg in plant dry matter (constant) (current values taken from Kelland et al. 2020 for Sorghum),unitless,,[],N,N,N,outdict
v_f_K,fraction of K in plant dry matter (constant) (current values taken from Kelland et al. 2020 for Sorghum),unitless,,[],N,N,N,outdict
v_f_Si,fraction of Si in plant dry matter (constant) (current values taken from Kelland et al. 2020 for Sorghum),unitless,,[],N,N,N,outdict
dry_perc,percent of dry plant mass (constant),?? Is this a fraction or a percent?,,[],N,N,N,outdict
xi,"nutrient concentration in dry biomass (shape[nutrients]; order: Ca, Mg, K, Si)",umol g-1 dry biomass,,nutr,N,N,N,outdict
K_CaCO3,calcium carbonate solubility product (constant),,,[],N,N,N,outdict
K_MgCO3,magnesium carbonate solubility product (constant),,,[],N,N,N,outdict
r_CaCO3,calcium carbonate precipitation rate (constant),umol d-1,,[],N,N,N,outdict
r_MgCO3,magnesium carbonate precipitation rate (constant),umol d-1,,[],N,N,N,outdict
tau_CaCO3,calcium carbonate dissolution timescale (constant),d,,[],N,N,N,outdict
tau_MgCO3,magnesium carbonate dissolution timescale (constant),d,,[],N,N,N,outdict
j,??? Mineral index from for loop?,,,[],N,N,N,outdict
rho_rock,"rock density (constant, feedstock agnostic)",g m-3,,[],N,N,N,outdict
b,parameter for roughness calculation,unitless,,[],N,N,N,outdict
a,parameter for roughness calculation,1 m-b,,[],N,N,N,outdict
Z_CO2,??? Parameter for co2 diffusivity calculation?,?? m,,[],N,N,N,outdict
I_An,"background input rate of conservative anions (e.g., through rain, litterfall, background weathering, etc)",mol_c d-1,,[],Y,N,N,outdict
I_Ca,"background input rate of Ca2+ (e.g., through rain, litterfall, background weathering, etc)",mol d-1,,[],Y,N,N,outdict
I_Mg,"background input rate of Mg2+ (e.g., through rain, litterfall, background weathering, etc) (constant)",mol d-1,,[],Y,N,N,outdict
I_Na,"background input rate of Na+ (e.g., through rain, litterfall, background weathering, etc) (constant)",mol d-1,,[],Y,N,N,outdict
